iter	Logloss
0	0.6872607001
5	0.6646308973
10	0.6473367884
15	0.6341972325
20	0.6236650522
25	0.6146077306
30	0.6066257127
35	0.5981380557
40	0.5930235635
45	0.5867829717
50	0.5810006786
55	0.5750080439
60	0.5705479749
65	0.5660317786
70	0.5611859272
75	0.5565325473
80	0.5523777968
85	0.5487027691
90	0.5454542986
95	0.5421763577
100	0.5390455719
105	0.535471198
110	0.5318772759
115	0.5290719986
120	0.5260977965
125	0.5237534342
130	0.5212317551
135	0.5186845546
140	0.5163265677
145	0.5129598696
150	0.5093785354
155	0.5070726279
160	0.504855823
165	0.5023442636
170	0.5000709859
175	0.4971982769
180	0.4945894204
185	0.4927454151
190	0.4902533053
195	0.4885371536
200	0.4869493493
205	0.4849432809
210	0.4828733843
215	0.4808190869
220	0.4787591125
225	0.4768421467
230	0.474758675
235	0.4730314164
240	0.4712160918
245	0.469493967
250	0.4679385951
255	0.4662259483
260	0.4647158929
265	0.4625890792
270	0.4610855892
275	0.4591845187
280	0.4579285415
285	0.4560981114
290	0.4545787755
295	0.4530054349
300	0.4515689323
305	0.450213486
310	0.4485152043
315	0.4472134664
320	0.4456834183
325	0.4441200987
330	0.442751867
335	0.4413149695
340	0.4400187111
345	0.4384429516
350	0.4365536299
355	0.4351550885
360	0.4338067013
365	0.4322141086
370	0.4310060148
375	0.4298588861
380	0.4286703406
385	0.4273220521
390	0.4259391099
395	0.4248182923
400	0.4236469256
405	0.4224791626
410	0.4214396481
415	0.4201066132
420	0.4190701593
425	0.4181328784
430	0.416939199
435	0.4158571818
440	0.414790122
445	0.4135231366
450	0.4123864484
455	0.4115015184
460	0.4104857235
465	0.4090474931
470	0.4081200357
475	0.4070541113
480	0.4060880016
485	0.4048007028
490	0.4039784161
495	0.4027669656
499	0.4019539595
