iter	Passed	Remaining
0	59	29799
1	95	23766
2	131	21833
3	163	20221
4	196	19484
5	230	19011
6	266	18741
7	300	18463
8	335	18288
9	367	18001
10	401	17858
11	435	17720
12	468	17541
13	499	17331
14	531	17187
15	565	17103
16	597	16984
17	629	16860
18	661	16758
19	696	16726
20	729	16633
21	761	16534
22	796	16516
23	827	16415
24	860	16350
25	895	16321
26	929	16277
27	960	16182
28	995	16162
29	1027	16105
30	1061	16062
31	1097	16046
32	1128	15975
33	1163	15945
34	1199	15940
35	1234	15908
36	1267	15859
37	1302	15836
38	1333	15763
39	1365	15707
40	1401	15690
41	1433	15633
42	1464	15566
43	1499	15542
44	1532	15497
45	1565	15450
46	1598	15402
47	1630	15352
48	1665	15330
49	1699	15291
50	1730	15231
51	1762	15180
52	1797	15156
53	1831	15124
54	1863	15076
55	1898	15054
56	1932	15020
57	1964	14969
58	1996	14922
59	2031	14896
60	2062	14846
61	2097	14819
62	2131	14785
63	2164	14746
64	2200	14726
65	2231	14675
66	2264	14634
67	2299	14609
68	2332	14567
69	2365	14530
70	2400	14506
71	2432	14460
72	2466	14427
73	2501	14398
74	2534	14361
75	2565	14313
76	2598	14275
77	2630	14231
78	2661	14185
79	2694	14146
80	2728	14116
81	2760	14071
82	2792	14031
83	2827	14003
84	2858	13957
85	2891	13921
86	2924	13883
87	2954	13834
88	2987	13794
89	3021	13766
90	3053	13721
91	3085	13682
92	3119	13651
93	3151	13613
94	3182	13569
95	3219	13547
96	3250	13505
97	3284	13472
98	3318	13440
99	3350	13401
100	3380	13353
101	3414	13324
102	3448	13291
103	3482	13259
104	3513	13217
105	3546	13182
106	3577	13138
107	3611	13107
108	3645	13075
109	3678	13041
110	3711	13007
111	3742	12963
112	3776	12932
113	3809	12897
114	3840	12858
115	3873	12821
116	3905	12786
117	3939	12752
118	3971	12715
119	4005	12684
120	4038	12649
121	4069	12609
122	4103	12576
123	4136	12543
124	4167	12502
125	4202	12475
126	4235	12438
127	4267	12401
128	4298	12362
129	4331	12327
130	4363	12291
131	4394	12252
132	4426	12214
133	4457	12174
134	4491	12144
135	4524	12109
136	4556	12073
137	4587	12032
138	4621	12003
139	4653	11966
140	4686	11931
141	4718	11895
142	4750	11858
143	4781	11821
144	4816	11792
145	4851	11762
146	4883	11726
147	4918	11697
148	4948	11656
149	4980	11620
150	5012	11584
151	5043	11545
152	5075	11510
153	5106	11474
154	5138	11436
155	5168	11397
156	5202	11365
157	5235	11332
158	5265	11291
159	5297	11256
160	5331	11224
161	5361	11186
162	5393	11151
163	5425	11115
164	5460	11086
165	5492	11050
166	5525	11017
167	5556	10981
168	5586	10942
169	5620	10910
170	5651	10873
171	5682	10837
172	5715	10803
173	5745	10764
174	5775	10726
175	5811	10697
176	5842	10662
177	5875	10629
178	5908	10595
179	5939	10558
180	5970	10523
181	6000	10485
182	6034	10453
183	6065	10417
184	6095	10379
185	6128	10346
186	6162	10314
187	6192	10277
188	6224	10243
189	6256	10207
190	6287	10172
191	6319	10137
192	6348	10098
193	6381	10064
194	6412	10030
195	6443	9994
196	6475	9959
197	6506	9924
198	6541	9894
199	6572	9859
200	6603	9822
201	6635	9789
202	6666	9753
203	6698	9718
