iter	Logloss
0	0.6699630162
5	0.5893669539
10	0.5407779116
15	0.5049308583
20	0.4835468469
25	0.46710609
30	0.4550348317
35	0.442531384
40	0.4334258373
45	0.4268018607
50	0.4210408425
55	0.4164946116
60	0.4120830606
65	0.407051526
70	0.4024873033
75	0.3988602442
80	0.3950706137
85	0.3920438248
90	0.3889211803
95	0.3853486129
100	0.3818166346
105	0.3782736375
110	0.3759531753
115	0.373109532
120	0.3700506765
125	0.3676164531
130	0.3653550022
135	0.3627610052
140	0.3604954867
145	0.3581408489
150	0.3555349076
155	0.3536272872
160	0.3519164355
165	0.3498955273
170	0.3475112332
175	0.3453806744
180	0.343934706
185	0.3421362628
190	0.3405168117
195	0.3390130587
200	0.3376507218
205	0.3358077727
210	0.3331005956
215	0.3317517524
220	0.3302945499
225	0.3287019788
230	0.3273979859
235	0.3255727919
240	0.3238013578
245	0.322286048
250	0.3207889451
255	0.3193518649
260	0.3178662328
265	0.316569966
270	0.3153339372
275	0.3141124997
280	0.3127175151
285	0.3110719803
290	0.3099028609
295	0.3084526313
300	0.3075085809
305	0.3061487835
310	0.305104724
315	0.3042472967
320	0.3030770798
325	0.3014464161
330	0.300303359
335	0.2994183629
340	0.2984207678
345	0.2975548611
350	0.2962414634
355	0.2950535345
360	0.293912651
365	0.292920802
370	0.2918664985
375	0.2908191893
380	0.2899640217
385	0.2890810917
390	0.2883005597
395	0.2871977687
400	0.2863398034
405	0.2854014347
410	0.2843456031
415	0.2835564411
420	0.2828094391
425	0.2818788611
430	0.2809016466
435	0.28004041
440	0.2789332933
445	0.2777876321
450	0.2768779727
455	0.2760430566
460	0.2752765134
465	0.2744132323
470	0.2737364111
475	0.2728869466
480	0.2721813084
485	0.2712008012
490	0.2702642403
495	0.2693422922
499	0.2687305943
