iter	Passed	Remaining
0	52	26221
1	89	22391
2	126	20944
3	165	20491
4	201	19936
5	239	19717
6	280	19756
7	318	19594
8	356	19433
9	392	19215
10	428	19056
11	465	18939
12	506	18964
13	544	18888
14	579	18747
15	618	18696
16	656	18651
17	693	18566
18	731	18517
19	769	18458
20	804	18348
21	839	18247
22	876	18173
23	911	18083
24	946	17988
25	982	17920
26	1019	17855
27	1055	17800
28	1093	17755
29	1128	17676
30	1164	17612
31	1199	17540
32	1237	17511
33	1278	17524
34	1315	17471
35	1349	17399
36	1387	17358
37	1424	17316
38	1460	17263
39	1499	17245
40	1536	17196
41	1572	17147
42	1611	17121
43	1651	17112
44	1687	17067
45	1725	17030
46	1759	16959
47	1796	16913
48	1831	16856
49	1866	16800
50	1902	16746
51	1936	16687
52	1971	16628
53	2008	16586
54	2046	16557
55	2083	16515
56	2120	16482
57	2156	16434
58	2191	16377
59	2228	16344
60	2265	16304
61	2302	16262
62	2338	16217
63	2374	16178
64	2412	16145
65	2448	16101
66	2489	16086
67	2527	16054
68	2562	16008
69	2597	15955
70	2634	15920
71	2671	15882
72	2707	15836
73	2744	15802
74	2780	15757
75	2819	15727
76	2856	15692
77	2893	15654
78	2930	15615
79	2966	15574
80	3003	15537
81	3039	15493
82	3077	15463
83	3116	15436
84	3153	15398
85	3189	15352
86	3225	15312
87	3262	15273
88	3300	15240
89	3336	15200
90	3376	15173
91	3412	15135
92	3449	15098
93	3485	15055
94	3521	15010
95	3556	14967
96	3592	14925
97	3628	14886
98	3666	14852
99	3702	14808
100	3738	14769
101	3776	14734
102	3811	14691
103	3847	14650
104	3883	14611
105	3920	14571
106	3957	14533
107	3992	14491
108	4028	14451
109	4064	14412
110	4101	14374
111	4138	14335
112	4172	14289
113	4208	14250
114	4245	14212
115	4283	14178
116	4318	14135
117	4355	14098
118	4392	14061
119	4428	14023
120	4467	13992
121	4504	13955
122	4549	13943
123	4588	13913
124	4622	13867
125	4661	13835
126	4696	13792
127	4731	13752
128	4768	13714
129	4803	13671
130	4839	13631
131	4874	13590
132	4912	13554
133	4949	13517
134	4984	13477
135	5022	13443
136	5059	13405
137	5094	13364
138	5131	13327
139	5167	13289
140	5204	13250
141	5239	13209
142	5275	13171
143	5311	13132
144	5352	13104
145	5393	13077
146	5428	13036
147	5464	12997
148	5500	12956
149	5535	12916
150	5572	12880
151	5608	12839
152	5642	12797
153	5679	12759
154	5716	12723
155	5753	12687
156	5788	12646
157	5827	12613
158	5864	12576
159	5902	12542
160	5940	12508
161	5978	12473
162	6015	12436
163	6050	12396
164	6087	12358
165	6125	12324
166	6160	12285
167	6198	12249
168	6233	12209
169	6270	12171
170	6306	12133
